Name / Nom,Strasse / Rue,Plz / NAP,Ort / Lieu,Kanton / Canton,Name / Nom,Vorname / Prénom
Finsterer Consulting,Müseliweg 2,8049,Zürich,ZH,Finsterer,Robert
"traumkörper.ch, Christina Peter",Melchrütistrasse 53,8304,Wallisellen,ZH,Peter,Christina
"Ming Kee Takeaway, Inhaber Lai",Uitikonerstrasse 9,8952,Schlieren,ZH,Lai,Kwok Ming
Andric Starfit Sport Center,Ackerstrasse 152d,8604,Volketswil,ZH,Andric,Robert
Maler A. Laurito,Gewerbestrasse 24,8800,Thalwil,ZH,Laurito,Antonio
"Wolfsspuren, von Ow",Seuzachstrasse 42,8413,Neftenbach,ZH,von Ow,Karin
"Hairfashion Andrea, Inhaberin Caponi Heusser",Im Tobel 17,8706,Meilen,ZH,Caponi,Yvonne
HBN International Edith Suter-Bernet,Obere Fischbachstrasse 4,8932,Mettmenstetten,ZH,Suter,Edith Lina
AL Ani Backwaren,Stiglenstrasse 59,8052,Zürich,ZH,Al Ani,Haydar
Enter Travel Angün,Herbstweg 40,8050,Zürich,ZH,Angün,Numan
L4you Yüksel,Hohenstieglen 12,8152,Glattbrugg,ZH,Yüksel,Deniz
"Southside Tattoo, Andracchio",Leimbachstrasse 100,8041,Zürich,ZH,Andracchio,Ivan
Susanne Rehmann,Bühlhaldenstrasse 1,8606,Nänikon,ZH,Rehmann,Susanne
Nähservice Ioana Popa,In der Fadmatt 19,8902,Urdorf,ZH,Popa,Ioana Mihaela
Fegola Automobile,Weiacherstrasse 80,8427,Rorbas,ZH,Fegola,Gerardo
Ardi Herren Coiffeur Lleshaj,Bahnhofstrasse 8,8610,Uster,ZH,Lleshaj,Gasper
"Hans-Jürg Mauch, Umbauten, Renovationen und Kundenmauern",Frohheimstrasse 11,8304,Wallisellen,ZH,Mauch,Hans-Jürg
Fabians Gartenpflege Oezdemir,Zürcherstrasse 25,8107,Buchs,ZH,Oezdemir,Fabian
Service & Transporte Kadriu,Glanzenbergstrasse 18,8953,Dietikon,ZH,Kadriu,Dibrane
Marques de Oliveira,Bahnhofstrasse 231,8623,Wetzikon,ZH,Marques de Oliveira,Paulo Jorge
"roxas.ch, Inhaber G. Roxas",Altburgstrasse 17,8105,Regensdorf,ZH,Roxas,Gerardo
fjö Fabienne Ruffieux,Asylweg 22,8134,Adliswil,ZH,Schtalheim,Uri
Autoklinik Zürich Heredia Triguero,Kanzleistrasse 127,8004,Zürich,ZH,Heredia Triguero,Estanislao
"ELEKTRO SENIOR, Inhaber Schirmer",Obermattstrasse 36,8330,Pfäffikon,ZH,Schirmer,Gottfried
"Coiffure für gesundes Haar, Vera Curiger Rozas Bialas",Ludretikonerstrasse 6,8800,Thalwil,ZH,Rozas Bialas,Tomás
Kiener Housekeeping,Else-Züblin-Strasse 112,8404,Winterthur,ZH,Kiener,Marceline
Rainer Helmbrecht,Wolfswinkel 30,8046,Zürich,ZH,Helmbrecht,Rainer
Hablützel Treuhand,Badenerstrasse 15,8004,Zürich,ZH,Hablützel,Bruno
GEZ - Beratungs & Handel & Installations,Im Park 15,8953,Dietikon,ZH,Gez,Ahmet Fuat
Mark Ritter Executive Search & Consulting,Rämistrasse 31,8001,Zürich,ZH,Ritter,Daniela Pia
Cosmetic Seyde Bar-Simon,Rebackerweg 15,8305,Dietlikon,ZH,Bar-Simon,Seyde
"Zenusi, Inhaberin Salvatore",Imfeldstrasse 70,8037,Zürich,ZH,Salvatore,Tommasina Carmen
Halder Record,Dorfstrasse 19,8800,Thalwil,ZH,Halder,Ralph
"RaumSpur, Nicole Grubenmann",Geissbergstrasse 1,8302,Kloten,ZH,Grubenmann,Nicole
Carretto Siciliano Nella Digeronimo,Lettenstrasse 12,8309,Nürensdorf,ZH,Pichierri,Luana
"Maxclean Automobile, Marco Regattieri",Grundstrasse 44,8196,Wil,ZH,Regattieri,Marco
Abwasser und Kanalunterhalt Wälti,Zürcherstrasse 2,8903,Birmensdorf,ZH,Wälti,Patrick
Blumennest Stächelin,Grütstrasse 1,8704,Herrliberg,ZH,Stächelin,Katrin
"Stjärnmönster Kleider, Schütz",Karlstrasse 18,8610,Uster,ZH,Schütz,Michela
zollinger graphics,Josephstrasse 110,8005,Zürich,ZH,Zollinger,Stefan
Konzept und Text: Christian Rintelen,Manessestrasse 2,8003,Zürich,ZH,Rintelen,Christian
"tur, büro für landschaft, umwelt und garten",Dufourstrasse 131,8008,Zürich,ZH,Tur,Boris
Gangwerk - Katharina Mattioli,Zythüslistrasse 1,8165,Schleinikon,ZH,Mattioli,Katharina
Gilomen Immobilien,Giessenstrasse 9b,8910,Affoltern am Albis,ZH,Gilomen,André
Kouassi Handel Zürich,Regensbergstrasse 1,8050,Zürich,ZH,Kouassi,Zeze Felix
ORIGINAL-HUNDE-SHOP - STENCLOVA,Nöschikonerstrasse 10,8155,Niederhasli,ZH,Stenclova,Katerina
"Drive me Taxi Limousinen Service, Ali",Stationsstrasse 36,8833,Samstagern,ZH,Ali,Aws Husham
e. mächler schreinerhandwerk,Herrlisberg-Langrütistrasse 21,8820,Wädenswil,ZH,Mächler,Edouard
Gasser fragt nach,Gladbachstrasse 47,8044,Zürich,ZH,Gasser,Martin Beat
Reed Do-it,Pfaffächerstrasse 8,8913,Ottenbach,ZH,Reed,William Matthew
Easy Garage - Mirzabeigi,Silbernstrasse 8,8953,Dietikon,ZH,Mirzabeigi,Mehdi
Panikkal Consulting,Zürichstrasse 15,8306,Brüttisellen,ZH,Panikkal,Sharmila
Martin Drechsel IndustrieDesign,Limmatstrasse 73,8005,Zürich,ZH,Drechsel,Martin
reuss-fit rickli,Ottenbacherstrasse 23,8912,Obfelden,ZH,Rickli,Jonas
S. Jud Consulting,Hortweg 2,8800,Thalwil,ZH,Jud,Siegfried Sebastian
R. Erne Energie- und Haustechnik,Lerchenhalde 71,8046,Zürich,ZH,Erne,Roman
Navas de Luna Distribution,Schürmattstrasse 4,8913,Ottenbach,ZH,Navas de Luna,Guadalupe Sonia
Spillmann Metallbau,Industriestrasse 7,8620,Wetzikon,ZH,Spillmann,Michael
Japanese Restaurant etc. Abe,Grimselstrasse 2,8048,Zürich,ZH,Abe,Takumi
elmarket.ch / Peter Keller,Industriestrasse 12,8117,Fällanden,ZH,Keller,Peter
Vollenweider Versand,Steigstrasse 2 B,8444,Henggart,ZH,Vollenweider,Esther
Brennpunkt Fotostudio Inhaberin Ursula De Bastiani,Tiefenhofstrasse 17,8820,Wädenswil,ZH,De Bastiani,Ursula
Buck's Crepli,Weinbergstrasse 5,8187,Weiach,ZH,Buck,Thomas
Löwa BAUSERVICE,Mühleackerstrasse 11,8952,Schlieren,ZH,Löwa,Murat
Haas Finanzadmin,Industriestrasse 57,8304,Wallisellen,ZH,Haas,Markus Daniel
S. Pfändler Rollino Bauschreiner Montagen,Brandstrasse 32,8610,Uster,ZH,Pfändler,Stefan
Manfred Fuhrer Plattenbeläge,Südstrasse 18,8180,Bülach,ZH,Fuhrer,Manfred
CGmedia Carl Göbel,Obere Fischbachstrasse 10,8932,Mettmenstetten,ZH,Göbel,Carl Martin
Bauberatungen Müller,Rütnerstrasse 32,8302,Kloten,ZH,Müller,Wilfried
"Suter-Arnold Treuhand, Inhaber Suter",Gutstrasse 113,8055,Zürich,ZH,Suter,Jacqueline Maria
Schöpfer Sanitär,Brunnenwiesenstrasse 26,8305,Dietlikon,ZH,Schöpfer,Urs
Phoenix Franco Guglielmelli,Schaffhauserstrasse 113,8057,Zürich,ZH,Guglielmelli,Franco
Markus Kämpfer Schweizer Kompetenz Centrum,Franklinstrasse 21,8050,Zürich,ZH,Kämpfer,Markus
Oparnica TVMV,Dietlikonerstrasse 4,8303,Bassersdorf,ZH,Oparnica,Vladimir
Natural Training by Patrick Wiget,Winterthurerstrasse 656,8051,Zürich,ZH,Wiget,Patrick
"Coiffure Theres, T. Frauchiger & M. Kunz",Zürichstrasse 6,8340,Hinwil,ZH,Frauchiger,Therese
"Coiffeur En Vogue Bahnhofstrasse, Claudio Tollardo & Nadia Preziuso",Bahnhofstrasse 35,8001,Zürich,ZH,Preziuso,Nadia
Rulo - Noldin & Morandi,Seestrasse 256,8706,Meilen,ZH,Morandi,Pirro Lino
Antheia's Group by Semeshina & Co.,Altstetterstrasse 193,8048,Zürich,ZH,Benjamin,Arnaud
Papillon Events Yalin & Abu Shady,Alte Landstrasse 26,8114,Dänikon,ZH,Abu Shady,Perihan
AvantBart Stoll und Partner,Brahmstrasse 34,8003,Zürich,ZH,Günaydin,Ugur Ozan
Mammonides AG,Steinhaldenstrasse 48,8002,Zürich,ZH,Tyrangiel,Harry
InStyle AG,Pfingstweidstrasse 98,8005,Zürich,ZH,Meier,Caroline
Acxit Capital Management AG,Othmarstrasse 8,8008,Zürich,ZH,Franzen,Marcel Simon
Gems and Ladders AG,Weiherallee 11a,8610,Uster,ZH,Pertot,Alexander
ROSS Projects Holding AG,Seefeldstrasse 5,8008,Zürich,ZH,Steinmann,Roland
BolBol AG,Dollikerstrasse 68c,8707,Uetikon am See,ZH,Kazanci,Caglar
NASA Properties AG,Waffenplatzstrasse 82,8002,Zürich,ZH,Mosbacher,Naphtali
deko.ch AG,Rümlangerstrasse 24,8156,Oberhasli,ZH,Fischer,Thomas
Gubemo AG,Nordstrasse 104,8037,Zürich,ZH,Boccamazzo,Alan
2Towers Immobilien AG,Im Schossacher 12,8600,Dübendorf,ZH,Buhl,Andreas Stefan
NetData AG,Märtplatz 3,8307,Effretikon,ZH,Alison,Gilbert
YADROT Industries AG,Nüschelerstrasse 31,8001,Zürich,ZH,Winkler,Thomas
O6 AG,Talstrasse 20,8001,Zürich,ZH,Hürlimann,Silvan
NEKO Lighting AG,Flüelastrasse 12,8048,Zürich,ZH,Speissegger,Sven
GRIS Alliance des Créateurs AG,Europaallee 33,8004,Zürich,ZH,Martino,Adele
ZIN Digital Asia AG,Wengistrasse 1,8004,Zürich,ZH,Lyk,Christian
Ibrahim-Schneidawind Group AG,Bahnhofstrasse 100,8001,Zürich,ZH,Schneidawind,Rabia Rahat
Effi Bau AG,Wehntalerstrasse 711,8046,Zürich,ZH,Shala,Afrim
"Ganija AG, Haustechnik - Heizungen - Sanitär",Schaffhauserstrasse 73,8472,Seuzach,ZH,Ganija,Nuri
Huusarztpraxis Früebli AG,Früeblistrasse 3,8157,Dielsdorf,ZH,Wespi,Peter
Autegrion GmbH,Weieracherstrasse 3,8184,Bachenbülach,ZH,Birnbach,Sebastian Pawel
freshcom GmbH,Earhartstrasse 14,8152,Glattpark (Opfikon),ZH,Baumgartner,Cédric
Auto Betschart & Lier GmbH,Ottenbacherstrasse 1,8909,Zwillikon,ZH,Betschart,Benno
Spuntä GmbH (Spuntä Sàrl) (Spuntä LLC)),Brämenstallstrasse 4,8184,Bachenbülach,ZH,Schwarz,Arthur
Baito GmbH,Sihlamtsstrasse 5,8002,Zürich,ZH,Biljali,Besfort
ENA Installationen GmbH,Heidwiesen 31,8051,Zürich,ZH,Nikolic,Predrag
DK Transporte GmbH,Schulstrasse 29,8952,Schlieren,ZH,Krstic,Ana
Turnkey Consulting Schweiz GmbH,Cramerstrasse 16,8004,Zürich,ZH,Kümmerle,Thomas
mydh GmbH,General-Wille-Strasse 243E,8706,Meilen,ZH,Hutchinson,Stéphanie
Sport Food Excellence GmbH,Geenstrasse 19,8330,Pfäffikon,ZH,Zaugg,Jérôme
YOU IN FLOW GmbH,Boglerenstrasse 58,8700,Küsnacht,ZH,Ruetz,Daniela
Eriswiss Transport GmbH,Hirzenbachstrasse 7,8051,Zürich,ZH,Yohannes,Mussie
Mediamint GmbH,Lütisämetstrasse 129,8706,Meilen,ZH,Flückiger,Urs
Local Cords GmbH,Stelzenstrasse 6,8152,Glattpark (Opfikon),ZH,Jamshidi,Sheragim
Suter Kiosk GmbH,Goldistenstrasse 8,8625,Gossau,ZH,Suter,Priska Rolanda
FMTools GmbH,Reismühleweg 45,8409,Winterthur,ZH,Dähler,Hanspeter
3R Aviation Support Network GmbH,Chaltenriet 4,8310,Grafstal,ZH,Rub,Cornelio
Zeqiri Gipser und Maler GmbH,Badenerstrasse 865,8045,Zürich,ZH,Zeqiri,Avni
Küng Mauerwerk GmbH,Bruggwiesenstrasse 13,8442,Hettlingen,ZH,Küng,Manuel
BlackBox Music Management GmbH,Earhart-Strasse 18,8152,Glattpark (Opfikon),ZH,Riede,Natalie
Spark & Strategy Digital & Social Media Consulting & Coaching GmbH,Seestrasse 90,8802,Kilchberg,ZH,Ramirez Aguirrezabala,German
Siidegarte GmbH,Wässeri 7b,8816,Hirzel,ZH,Zuberbühler,Gabriela
GiM Deckenbau GmbH,Freiestrasse 4,8952,Schlieren,ZH,Jurina,Mladen
CHQM Management & Turnaround GmbH,Rüterspüelstrasse 22,8173,Neerach,ZH,Meier,Christoph
Naturklang GmbH,Hönggerstrasse 15,8037,Zürich,ZH,Ruoff,Felix
fashionpoint GmbH,Poststrasse 14,8194,Hüntwangen,ZH,Reimann,Markus
Rüeger Ingenieure GmbH,Unterer Graben 19,8400,Winterthur,ZH,Rüeger,Philipp
Vintage-Village GmbH,Haselstrasse 38,8335,Hittnau,ZH,Jakob,Marco
Umzugsservice Zürich GmbH,Uetlibergstrasse 27,8045,Zürich,ZH,Daued,Ahmad
RSN GmbH,Dufourstrasse 26,8702,Zollikon,ZH,Streur,Maurice Adrianus
Vogt Solutions GmbH,Oberbergweg 5,8635,Dürnten,ZH,Vogt,Bernd
Zürcher Holzbau GmbH,Oberaurüti 2,8497,Fischenthal,ZH,Zürcher,Matthias
Avra Consultancy GmbH,Brandschenkestrasse 174,8002,Zürich,ZH,Schijveschuurder,Judith
Kasper & Spillmann Kunstvermittlung GmbH,Pflanzschulstrasse 93,8004,Zürich,ZH,Kasper Kräutler,Stefanie Svenja
Fliwa GmbH,Gerenstrasse 70,8105,Regensdorf,ZH,Stofer,Christian
Büli Haustechnik GmbH,Hertenstrasse 17b,8353,Elgg,ZH,Mulaj,Durim
RT Financial Services GmbH,Bruggstrasse 25,8942,Oberrieden,ZH,Hug,Gion
JobRate GmbH,Im Sträler 42,8047,Zürich,ZH,Rayen,Rainer Francis
TOKI GmbH,Althardstrasse 10,8105,Regensdorf,ZH,Tok,Özçan
Stich & Oswald GmbH,Bändlistrasse 29,8064,Zürich,ZH,Oswald,Johannes Xaver
Runosy GmbH,Kirchstrasse 8,8245,Feuerthalen,ZH,Nue,Fredian
Taurus4757 GmbH,Wissmannstrasse 15,8057,Zürich,ZH,Girschweiler,Thomas
FPS - Flughafen Parkservice Schweiz GmbH,Hardstrasse 26,8424,Embrach,ZH,Faddi,István
POMPdeLUX (Schweiz) GmbH,Sternenstrasse 18,8002,Zürich,ZH,Hoffmann,Marianne
DiVaraGmbH,Kaiserstuhlstrasse 59,8154,Oberglatt,ZH,Amato,Antonello Daniele
Hannemann-Consulting GmbH,Bäckerstrasse 37,8004,Zürich,ZH,Hannemann,Oliver
Nuri's Imbiss GmbH,Schaffhauserstrasse 62,8451,Kleinandelfingen,ZH,Payab,Nurullah
Safe Security 14 GmbH,Viaduktstrasse 59,8005,Zürich,ZH,Berisha,Qazim
N.K.S Weinberg GmbH,Weinbergstrasse 26,8001,Zürich,ZH,Saini,Emin
FEAD GmbH,Feldstrasse 55,8004,Zürich,ZH,Esslinger,Fabian
Tpower 4 Natural Adhesives GmbH,Limmattalstrasse 197,8049,Zürich,ZH,Omura,Sachikazu
FANGAN GmbH,Rigistrasse 46,8006,Zürich,ZH,Burger,Jürg
Tariq Gastro GmbH,Grafschaftstrasse 2,8172,Niederglatt,ZH,Egloff,Patrick
Büro Corrodi GmbH,Biberlinstrasse 46,8032,Zürich,ZH,Corrodi,Rolf
Corimbus GmbH,Hündlerstrasse 20c,8406,Winterthur,ZH,Laubner,Ulrike
Stünzi Visualisierung GmbH,Knüslistrasse 1,8004,Zürich,ZH,Stünzi,Michael
Räppli Reinigung GmbH,Ottostrasse 35,8005,Zürich,ZH,Huwiler,Albert
Summit Up GmbH,Franklinstrasse 20,8050,Zürich,ZH,Pinggera,Stefan
Riesenrat Schweiz GmbH,Auenring 21,8303,Bassersdorf,ZH,Deger,Robert
wetzimmo gmbh,Talstrasse 58,8001,Zürich,ZH,Wetzel,Anton Pius
M Mobile Electronic GmbH,Winterthurerstrasse 5,8180,Bülach,ZH,Kentus,Meliha
JimSoft GmbH,Fohlochstrasse 5a,8460,Marthalen,ZH,Rota,Guido
Kiitos GmbH,Hinterdorfstrasse 14,8314,Kyburg,ZH,Schwach,Caroline
"caparn GmbH, Beratung und Dienstleistungen",Im oberen Boden 167,8049,Zürich,ZH,Capaul,Arnold
E & A GIPSER GmbH,Löwenstrasse 11,8953,Dietikon,ZH,Saiti,Sait
Verein Berufsbildung in Bangladesh,Oleanderstrasse 10,8050,Zürich,ZH,Khan,Hasan
Verein Perspektiven - Autismus Therapie Zentrum Zürich,Forchstrasse 36,8008,Zürich,ZH,Jenny,Bettina
Verein Weihnachten in Zürich,Limmatquai 34,8001,Zürich,ZH,Brugger,Christian
Arena Freizeit- und Kulturverein,Florastrasse 12,8953,Dietikon,ZH,Sözer,Suat
Al-Thani Center,,8702,Zollikon,ZH,Neupert,Dieter W.
Karl + Margrith Wiederkehr-Stiftung,Obere Reppischstrasse 15,8953,Dietikon,ZH,Felber,Johannes
Pro Vista Stiftung,Seestrasse 26,8702,Zollikon,ZH,Pausch,Regina
Pensionskasse der Stadt Winterthur,Lindstrasse 4,8400,Winterthur,ZH,Steiner,Rudolf
"JAS FORWARDING SA, Zweigniederlassung Kloten",Steinackerstrasse 28,8302,Kloten,ZH,,
evolve communication gmbh,Vorhaldenstrasse 35,8049,Zürich,ZH,,
"The Chancellor, Masters, and Scholars of the University of Cambridge, Cambridge (UK), Zweigniederlassung University Press, Maur",Lohweisstrasse 32,8123,Ebmatingen,ZH,Bowes,William Alexander
"ALLIED FINANCE TRUST AG, Vaduz, Zweigniederlassung Zürich",Bahnhofstrasse 14,8001,Zürich,ZH,Appert,Christina
"IMMOMIG SA, Zweigniederlassung Zürich",Technoparkstrasse 1,8005,Zürich,ZH,,
COINVEST NYFFELER,Eschenweg 1,3303,Jegenstorf,BE,Nyffeler,Ursula
Josi Haustechnik,Grassiweg 28,3714,Frutigen,BE,Josi,Alfred
Stettler,Ländtestrasse 10,4912,Aarwangen,BE,Stettler,Ramon William
INFODAT Cichocki,Lutertalstrasse 51,3065,Bolligen,BE,Cichocki,Marek Michal
Ingenieurbüro Herbert Mangang QSI,Chilchweg 6,3771,Blankenburg,BE,Mangang,Herbert
FREI Immobilienbewirtschaftung,Schlittmoosstrasse 2,3778,Schönried,BE,Frei,Philippe
'Kingly body care' Frei,Waffengasse 7,2502,Biel/Bienne,BE,Frei,Bernhard
Crystal Reinigung I. Ademi,Bielstrasse 30,2560,Nidau,BE,Ademi,Ismije
Blumen- & Handwerkatelier Kreisrund Dominique Mantese,Baumgartenstrasse 26,2575,Täuffelen,BE,Mantese,Dominique
Büroservice Käsermann,Ahornweg 5,3400,Burgdorf,BE,Käsermann,Nicole
thüler guitars,Bachweg 56,3053,Lätti,BE,Thüler,Thomas
Oberflächendesign R. Rolle,Bahnstrasse 3,4932,Lotzwil,BE,Rolle,Ronny
health and vitality cendrine gafner,Stadtplatz 32,3270,Aarberg,BE,Gafner,Cendrine
Slokar Instrumente,Schlossacker 517a,3758,Latterbach,BE,Slokar,Branimir
Rent Drive Vithiyananthan,Nelkenweg 5,3176,Neuenegg,BE,Vithiyananthan,Kalyani
Buchhandlung am Stadtbach Franziska Strauss,Bümplizstrasse 126,3018,Bern,BE,Strauss,Franziska
Schreinerei Bieri,Bühlstrasse 18,3671,Herbligen,BE,Bieri,Reto
Anker AA-Tactical-Shooting,St. Niklausstrasse 5,3425,Koppigen,BE,Anker,Madeleine
Adinter Mitsuko Moser,Rue Marzon 7,2738,Court,BE,Moser,Mitsuko
AM-INFORMATIQUE Raphael Moser,Rue Marzon 7,2738,Court,BE,Moser,Raphael
Bangerter trade,Sonnhaldenweg 32 a,3110,Münsingen,BE,Bangerter,Miriame
Tinail's Tina Reich,Schützengässchen 5,3011,Bern,BE,Reich,Tina
Garage Carrosserie Andreas Jost,Gewerbestrasse 18,3512,Walkringen,BE,Jost,Remo
Beauty Corner Fahrni Monika,Schulhausgasse 3,3110,Münsingen,BE,Fahrni,Monika
Ramser Haustechnik,Mittelstrasse 16,2502,Biel/Bienne,BE,Ramser,Fritz
PC Burkhalter,Minderweg 13,3400,Burgdorf,BE,Burkhalter,Ruedi
Textilreinigung Hiltbrunner Nachfolgerin Emma Peter,Schulstrasse 7,3604,Thun,BE,Peter,Emma
Animo Praxis Christian Wiedmer,Friedbergstrasse 13,3512,Walkringen,BE,Wiedmer,Christian
OBAHON IMPORT EXPORT,Madretschstrasse 124,2503,Biel/Bienne,BE,Obahon,Peter
Sarah Perincioli Sound Graphic Productions,Waldstätterstrasse 12,3014,Bern,BE,Perincioli,Sarah
WALDNER ABO,Grubenstrasse 36-36,3322,Urtenen-Schönbühl,BE,Waldner,Ursula Ruth
MAW - Mariotto Art Works,Hof 9,4917,Busswil bei Melchnau,BE,Mariotto,Adriano
Pizzakurier Elbistan Güzel & Co.,Krauchthalstrasse 8,3414,Oberburg,BE,Güzel,Ayse
Vittorio Maccarone & David De Souza,Untere Hauptgasse 26,3600,Thun,BE,De Souza,David
Bijouterie Schertenleib AG,Bahnhofstrasse 23c,3800,Interlaken,BE,Schertenleib,Franziska
AGFS (Arbeitsgemeinschaft Fernsehwerbung Schweiz) AG,Giacomettistrasse 1,3006,Bern,BE,Battaglia,Bruno
Adrien Dubuis Kraftwerke AG,Chemin de la Neigette 4,2533,Evilard,BE,Dubuis,Eric
Logos Service AG,Hauptstrasse 27,3250,Lyss,BE,Logos,Silvia-Hermine
iZMK AG,Anternstrasse 22,4704,Niederbipp,BE,Petrovic,Ljubinko
DGR Investment AG,Bollwerk 21,3011,Bern,BE,Potgieter,Antonie Michael
SwissCommerce Holding AG,Chasseralstrasse 3,4900,Langenthal,BE,Freiin von Waldenfels,Friederike
Thalgut Immobilien AG,Eigerstrasse 2,3007,Bern,BE,Uebersax,Adrian
Oppliger-bois Sàrl,Rue du Pont 6d,2610,Saint-Imier,BE,Cattin,Alexandre
Fish Factory GmbH,Kichlindachstrasse 8,3052,Zollikofen,BE,Herrmann,Bruno
Magansoft GmbH,Oberer Galgen 4,3323,Bäriswil,BE,Sigrist,Martin
SanJoe Gelato Sàrl,Gottstattstrasse 65,2504,Biel/Bienne,BE,Suransky,Alexander
stolier GmbH,Dahliaweg 14,3004,Bern,BE,Bernet,Denis
EXER-VAD Sàrl,Rue des Marchandises 12,2502,Biel/Bienne,BE,Grunspan,Michel José Antoine
ILP SMART TECHNOLOGY SOLUTIONS GmbH,Fischerweg 3,3700,Spiez,BE,Leibenguth,Nico Peter
KiTa Kinderzimmer GmbH,Postgasse 2,3714,Frutigen,BE,Klossner Wandfluh,Martina Margareta
Rolli Holzbau GmbH,Arnistrasse 15,3508,Arni bei Biglen,BE,Rolli,Andreas
üses Caterding GmbH,Risegasse 17,3704,Krattigen,BE,Barreto do Nascimento,Anita
projektnetzwerk GmbH,Humboldtstrasse 47,3013,Bern,BE,Héritier,Danièle Irene Joséphine
Daniel Kramer GmbH - Gesamtprojektleitung und Bautreuhand,Effingerstrasse 14,3011,Bern,BE,Kramer,Daniel
Reflect Records GmbH,Werkstrasse 12,3428,Wiler bei Utzenstorf,BE,Fiumi,Philip Patrizio
Mondi & Diti GmbH,Grubenstrasse 5,3072,Ostermundigen,BE,Zuber,Makfire
